TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
373072375,1316459,3539902,2829,20081,6398
374072291,2183927,8830320,453,32754,8127
375075166,2190336,9113646,207,31210,6730
376075125,2183944,9179728,152,29615,6832
377072125,2177622,9212440,1270,32534,6845
378072208,2184090,8750645,128,30536,7641
379072250,2184028,8290274,296,16590,13657
380072208,2284056,9381923,2522,14173,9884
381073250,36988,43883,65,188,61
382075291,1115605,2432065,3982,4692,6719
383072375,2381168,8829188,19323,21585,15602
384075333,2395157,7765118,16066,24352,16369
385075125,1550857,5630989,11776,22771,9042
387075125,1058290,5664014,8862,7803,430
388075083,2518946,13860275,12872,21535,1909
389072291,2584676,15440989,14126,18309,401
390074958,283098,516507,35708,13036,521
391072125,453928,1371042,45728,14894,642
391072416,1674019,5390739,107309,24877,4088
392072166,631042,2048793,70794,15567,1060
392072250,2022214,6179852,115061,25239,3997
392072291,1818050,5401329,102729,23243,3562
393072125,1165506,4064481,53246,9630,3125
393072208,890201,2830931,80260,16334,1488
393072333,379217,914764,39942,13106,495
394072250,74943,245178,3623,1044,193
394072500,629748,1978665,69085,15377,701
394072666,705033,2283460,27184,6084,2128
394073083,138740,381637,408,1780,360
394073416,131093,330973,419,1894,247
395072166,103877,325402,4406,1133,126
395072208,42776,130074,2024,841,74
395072333,104687,214905,34404,11605,29
395072375,53792,80118,0,0,0
395072958,22284,58512,41,355,9
395073083,20856,45924,35,176,1
395073166,19502,44118,6,212,0
396072166,172886,505242,17779,1503,243
396072291,160683,518168,6484,1793,424
396072375,816406,2757347,30900,7566,2003
397072166,110421,159721,0,0,0
397072250,541772,1783036,23654,4330,1579
397072583,68972,200680,10419,986,217
398072166,447686,1457885,33561,3472,758
398072250,750811,2449413,43830,6277,1483
398072291,865506,2978056,39983,6952,2769
399072208,115676,387938,5257,1404,272
399072291,467429,1529421,20350,4213,1449
399072333,979889,2904399,81018,17799,1459
399072958,74703,178364,329,1098,106
399073250,77086,206175,280,1189,182
400072250,249177,673113,37806,12338,221
400072333,109511,345961,4480,1297,222
400072375,37165,107522,1960,861,114
400072458,51565,159918,2069,1009,70
401072375,146920,208010,4536,1492,5
401072666,138577,441690,6292,2038,294
401072833,21054,67194,5,26,12
401073000,139325,459560,6279,1717,410
401073625,128515,341647,431,1676,236
401073708,202242,474576,682,2405,291
401073750,7291,5450,0,0,0
401073875,190833,520183,587,2545,302
402072291,131207,319039,18414,876,137
402072416,57204,191815,2957,897,182
402072708,164567,251727,11183,3890,5
402072833,63328,69914,0,0,0
402073083,31269,60423,203,626,89
403072208,369994,1173700,13990,3310,854
403072291,120574,387192,5769,1306,298
403072791,360377,734276,17146,3316,494
403072833,104425,248874,381,1428,150
403073541,85625,215517,336,1312,133
404072125,176374,559457,7951,1764,531
404072208,445631,988901,39008,14103,211
404072250,35553,43485,0,0,0
404072375,373447,1235191,14494,3147,927
404072916,32125,72765,103,644,9
405072208,3476,5920,0,0,0
405072291,116390,384153,4973,1555,336
405072333,613679,2079180,24743,5308,1454
405072500,4541,5653,0,0,0
405073166,14060,29152,20,151,0
406072166,592199,2004718,24572,5277,1268
406072250,833000,2629580,78462,16758,1453
406072291,14997,20723,0,0,0
406072375,10515,32203,290,282,9
407072250,475695,1604328,20382,4231,1063
407072291,817056,2184531,72525,17882,1138
407072500,714489,1783646,64550,15375,559
407072625,407873,1320890,12851,3663,1095
407073416,292898,793463,842,3438,236
407073541,575278,1478616,1463,6307,938
408072083,111193,238172,17241,1070,64
408072208,109482,240393,36,85,18
408072541,86181,192253,36,85,20
408073041,68770,186154,175,955,85
408073125,51436,107163,301,944,95
408073250,81532,186839,304,1236,254
409072250,105193,311211,10099,1449,189
409072416,468220,747354,35893,12346,69
409072708,45019,69432,9252,73,6
409072833,200700,638582,7565,2017,572
409073083,27188,56788,101,436,109
410072208,143135,436295,5532,1438,455
410072375,389242,908159,31030,12738,245
410072416,630799,1109890,38564,14103,186
410072458,375358,1102616,28673,3343,661
411072125,135068,407394,6925,3365,304
411072333,36692,46399,0,0,0
411072500,135022,184001,0,0,0
411072750,28365,89347,1006,494,8
411073083,5159,6851,0,0,0
411073250,6385,10386,0,0,0
412072208,149191,484295,7154,1777,381
412072291,371133,1190578,22606,4188,481
412072333,14689,31445,281,404,11
412072375,13958,33699,133,274,0
413072166,155083,157135,0,0,0
413072208,787703,2596020,32950,6889,2349
413072375,148483,275723,18716,1156,90
413072625,1174891,3651695,90033,19499,2177
413073041,91212,164202,4489,1118,170
413073125,92903,252067,341,1387,222
414072208,100895,142230,20953,6610,7
414072291,1414399,4543795,100941,22555,3217
414072541,101916,317692,5067,1299,158
414072958,77354,173763,288,1143,70
414073166,63281,59148,4142,243,13
415072166,285397,844250,25297,2107,403
415072541,220441,711097,9077,1282,435
415072833,525939,993735,39105,13743,229
415073250,146105,371969,2542,1778,237
415073416,145371,390217,296,1615,178
415073458,143034,379518,522,2070,132
416072541,467656,1504654,19604,4805,1304
416073083,609723,1658613,62237,14402,432
416073208,609434,1963630,39233,4575,908
416073916,759824,2131657,6871,6955,1224
416074083,1253417,3449998,3485,13327,2816
416074166,774530,2049637,1969,7887,1857
416074208,1250906,3339004,15208,11987,2251
417072166,984452,2638774,73729,17873,1114
417072250,844208,2572252,77137,16567,1374
417072333,526311,1768907,22288,5065,1264
418072291,137328,315863,35611,11890,59
418072333,72057,203859,36,80,21
418072541,135019,406983,5141,1406,405
418072916,41532,91071,244,837,121
418072958,67705,160562,316,1120,211
419072333,75489,216950,2302,1128,205
419072666,328266,531691,35422,11115,74
