TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
381071750,1436647,3971141,3098,20547,6983
382071250,1955053,7960096,402,29067,6888
383071083,1955717,8092200,283,29296,6192
384071041,1956101,8265853,292,30549,6227
385071083,2168744,9216945,1432,37134,6566
386071000,2183906,9122675,234,33920,7090
387071000,2183971,8451977,442,25837,12463
388071166,2184388,8787674,745,9710,12213
390071500,555984,970010,1595,2398,2415
391071291,2183648,7779788,16528,16649,15156
392071125,2197550,7568585,15567,21705,16980
393071291,758487,2498782,6478,13103,5627
395071083,501188,2533291,4308,4260,542
396071125,2388293,13908236,12651,16606,1551
397071208,2388203,13981954,11878,17506,1026
399071125,1275508,4181600,7962,10239,93
399071291,1230323,3984885,8067,9652,103
399071916,26293,43500,0,0,0
400070875,46631,144884,200,902,2
400071000,26930,30533,0,0,0
400071083,15460,33646,2,24,15
400071500,16466,33792,14,306,5
400072958,41818,38468,299,304,68
401071125,348661,1099687,2543,2900,3
401071250,41474,131556,317,986,4
401071291,35017,29641,2074,119,18
401071916,272117,295378,16728,1934,424
401072166,14257,15009,3,130,1
401072208,230242,410015,547,3714,360
402071041,147397,179281,0,0,0
402071208,146814,501072,970,1510,6
402071500,533791,1803230,3540,4742,20
402072000,796466,2314843,47178,7313,1230
402072125,406296,1101799,1503,3976,11
402072500,419755,876135,1421,7792,527
402072791,416411,1101683,1456,3686,12
403071000,189478,637026,1535,1669,4
403071083,284483,907876,10813,3412,576
403071125,668989,2184098,30295,6578,1399
403071166,285069,285668,0,0,0
403071750,974959,2224010,3870,18155,2136
403071958,973788,2624018,3036,10018,26
403072041,1017497,2208831,20140,15903,859
404071125,320480,1103894,2248,3578,9
404071291,432523,1373245,37437,4117,959
404071458,437637,1327462,3016,2699,20
404072083,360866,948753,1205,3297,12
404072250,519473,1281247,2083,11159,1162
404072625,1524822,4995801,86651,15972,3749
404072666,518945,1561390,2605,4707,23
405071000,25526,77162,179,655,0
405071125,767346,2477194,16670,8842,428
405071250,939610,3074698,43187,12078,2610
405071416,24500,27622,0,0,0
405072000,12057,20894,26,190,2
405072041,24810,31502,33,234,1
406071083,433328,1504112,3579,4769,10
406071166,1110592,3676617,51605,12096,2958
406071625,1253952,4676284,12217,12673,50
