TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
376071166,1999558,6141441,1757,29358,9299
377070958,2183557,8931752,571,37152,8174
378073916,2190614,9170938,385,36177,6872
379070833,2177268,9279921,346,36728,6608
380073916,2190783,9201774,1405,38646,6888
381073958,2184117,8543108,254,35651,7755
382073416,2218021,8285143,528,9731,14685
383071208,2382560,8354775,3725,19523,8732
385072458,1912534,5555061,12075,13206,11193
386074041,2391908,8768051,16381,18840,17869
387070916,2543,4629,0,0,0
390073666,2093387,12167648,14660,13929,455
391073666,2592113,14376168,14683,22031,2088
392070875,96759,220308,38,115,51
392071125,85000,90726,539,505,207
392071166,10277,12876,47,85,22
393070833,1020947,3326639,2263,10644,3002
394072666,691782,2213433,45877,6668,1451
394072750,2117877,7106769,4595,22729,6198
395073833,1762635,5119757,3061,14359,3839
395073875,851012,2866483,1459,9642,2446
395074041,683086,2335449,32951,8100,1717
396070833,271435,904837,471,3111,807
396070916,57651,101403,0,0,0
396071000,370468,1017046,14171,3727,847
396071083,653482,2194134,31235,7466,1677
397071000,51303,166229,63,567,124
397071041,112637,368546,263,1262,306
397071125,115766,251517,0,0,0
397071208,1549000,4807185,78284,15781,3379
398071208,628265,2224358,3286,5688,1920
398071375,57373,148100,20,479,124
398071583,1473887,4945849,69122,16239,3835
398072125,32729,33563,6,6,0
398072166,663405,1950686,2437,5997,1458
398072291,39578,102409,9,341,78
398072583,31922,30308,7,5,0
398072708,28978,69481,7,235,48
399070833,593166,1206848,382,2658,649
399070875,260954,835871,11689,3561,759
399070958,356433,1142312,2919,5141,900
399071000,440769,1398428,17801,5012,1257
400071291,116623,376825,226,1341,291
400071375,63964,74103,0,0,0
400071500,125477,194681,45,112,25
400072083,149325,89028,469,909,245
401071083,585488,2028269,43337,7874,1145
401071458,473698,1552024,22176,5196,1277
401071958,60595,164611,3,632,143
401072375,85689,250038,4215,1457,176
401072458,644942,2021037,3925,6334,1668
402071125,466974,1484977,10731,5875,956
402071166,343818,770897,473,1943,423
402071375,270153,948638,953,3035,796
402071500,157141,514933,278,1801,430
402072083,203077,436518,539,3716,272
402072166,215561,615509,7,2314,558
403070958,579991,2009868,30508,6124,1254
403071125,493522,1324974,535,3841,894
403071291,461952,1532512,776,5184,1190
403071666,342180,853419,1355,8058,738
403071708,343510,1001415,17,3767,796
403071791,512933,1818943,2787,5983,1418
403071916,351076,879690,1319,7497,613
404070791,5772,11436,36,54,0
404070916,418500,1380810,657,4723,1088
404071041,123763,144219,0,0,0
404071291,115992,377207,5679,2087,333
404071583,6685,11857,0,10,1
405070875,910500,3224478,5462,10323,2704
405070958,269493,863904,11319,3310,698
405071041,127273,416920,4751,2035,382
405071083,22408,68796,51,272,54
406070875,26612,96352,5,28,16
406070958,19961,64777,22,225,54
406071125,288856,913999,13757,3582,840
406071166,369651,1250826,9383,5272,701
406071833,3967,6309,0,0,0
407071000,1844676,6266180,51692,19853,4310
407071166,1626800,5438697,5307,15619,4252
407071458,871378,2614300,35893,8719,1730
407071625,1894433,6184741,100583,16695,4350
407072166,622108,1815425,13,6826,1580
407072291,1226101,3292398,338,11794,2391
407072416,1204698,2915453,17247,24156,1671
408070791,538857,1715745,26002,5997,1492
408070833,155341,548811,474,1740,442
408071250,121510,238267,420,2532,94
408071458,160500,173617,0,0,0
408071625,102022,230193,397,2260,86
409070916,466761,1613669,10366,6098,997
409071000,1507256,5146263,15249,18441,3609
409071083,370987,1312564,1228,3940,1128
409071125,627784,2102215,1523,6658,1637
410070833,85749,278285,246,960,210
410070875,753708,2600665,37958,9792,1860
410071000,1576585,5512386,81248,17152,4041
410071291,64160,169785,26,640,117
410071708,50802,91080,232,1126,64
410071875,499126,1454412,24,5435,1166
411070833,550786,1890037,30564,5251,1519
411071000,261783,848761,449,2861,643
411071083,98427,307394,5900,1666,178
411071208,1200890,3876489,58344,12744,2575
412070958,1554008,5107776,3136,16762,3868
412071041,456197,1619254,1449,4940,1251
412071083,941491,3060827,14549,11491,1930
412071125,810749,2312842,1359,6737,1561
412071500,304133,885826,13,3305,684
413070916,600238,1996157,1022,6711,1510
413071000,183970,561266,7309,2812,464
413071291,73008,247618,304,798,201
413071458,187359,193908,0,0,0
413072000,121432,279698,547,2641,160
413072125,142249,370494,31,1442,270
413072166,59917,92206,315,1276,119
414070833,228457,318466,0,0,0
414070958,24211,39315,528,580,33
414071291,55446,133876,22,61,20
414071416,230435,710902,9908,3432,609
414072041,5076,5696,0,0,0
414072125,10017,16447,3,17,7
414072166,15197,31247,22,334,0
415070791,1622831,5439638,10236,19106,3925
415070833,49002,170301,72,572,98
415070958,48986,143533,44,117,19
415071125,148340,437669,7871,2053,318
415071541,37482,73159,100,761,9
415071666,26975,65180,22,259,63
416070791,198368,619317,9045,3068,165
416070875,302011,449492,44,150,27
416071000,290828,1043246,901,3064,669
416071041,1531287,5155782,3208,16244,3050
417070916,649917,2102227,1042,6827,1251
417071166,460567,1149519,1313,3303,585
417071291,585591,1914894,953,6297,1189
417071541,429613,1327448,18647,4597,978
417072000,284053,685289,1266,6096,540
417072083,289120,769349,75,2672,473
418070875,1260167,4053951,62051,12688,2673
418070916,670248,2409503,2070,7127,1560
418071000,103322,364189,175,1172,227
418071083,204468,726916,650,2187,452
419071000,44192,125140,35,104,19
419071041,723784,2366386,33520,7051,1570
419071083,357107,1273741,2106,4081,854
419071125,36721,123090,38,418,75
