TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
375077583,497704,1187550,237,1090,1078
376077416,2183754,5289539,2761,24762,7017
377076583,2182127,8271687,390,26658,6449
378076666,2184250,8718488,119,27106,6177
379076750,2184191,8809084,114,26389,6544
380076708,2184057,8911761,1218,28974,6371
381076625,2183831,8633156,97,28498,6770
382076708,2184097,7721453,275,22269,11063
383076625,2256456,8355956,630,8110,12235
384076666,2388248,6520893,3139,15310,5225
385077916,145903,160307,199,1149,359
386076875,1073524,1502246,1011,1377,729
387077041,2388538,3600143,1024,1896,1459
388077000,2387788,5651408,9823,11200,7707
389076708,2387504,5675123,9675,12103,6799
390076833,2388191,7145988,11136,14078,12238
391077250,2481578,5834405,12972,21185,9650
392076666,704915,1044001,670,1105,958
393076750,2592390,7103393,12731,23751,8724
395076666,2518695,12756581,14581,14456,986
396076750,2592261,12841924,9223,18776,1351
398076666,1541134,4132849,2219,16178,28574
398076708,166380,369558,73,657,1180
398076750,59157,152179,104,665,1075
399076708,507214,1193443,509,4845,8373
399076833,505309,1591643,26036,13813,261
399077000,387289,918816,505,3873,6392
399077375,473931,1119041,513,3998,6972
399077583,233283,423002,639,3747,365
399077791,333345,607478,386,2620,4364
399077958,339262,614547,1209,5752,152
400076750,1398567,4652225,76827,14111,295
400076833,2470982,6535815,47407,25519,30179
400076875,2468037,7263604,82014,25761,18114
400076958,1414951,4665286,76940,15155,2714
400078333,2064753,5042509,8521,42273,470
400078458,2065083,4396524,21833,30321,9875
400078875,2065842,4298691,20742,29369,6488
401076541,14437,39249,15,212,234
401076583,491954,1416067,3729,5106,10926
401076708,500582,1203349,505,4586,7770
401076750,22363,31516,0,0,0
402076666,2384924,8309305,134669,26028,8636
402076750,2771685,8918939,106703,29018,22674
402076833,1511384,4065404,33364,15237,19397
402076958,2386735,6776457,54264,24958,29395
402078416,1789785,3894356,20806,25411,12454
402078458,1967582,4714592,22190,33877,8340
402078541,1968715,4298048,21416,28255,13224
403076791,1468131,4361955,53900,16196,11479
403076833,1495401,4884325,74568,13986,5183
403076916,1503055,4312174,13166,15471,29260
403077125,2772758,9033371,137447,28555,10924
403078083,2063308,5271718,23644,40738,436
403078625,2064113,5397387,19514,42347,466
403079125,2064948,4631877,22522,30688,3432
404076666,1065202,2625037,1419,10098,17480
404076833,1073018,3644854,65886,11141,318
404077000,936964,2404376,1147,9058,15404
404077458,672136,1256039,908,5329,8822
404077708,777646,1733009,18417,10771,3142
404077916,718763,2177764,13919,8653,8729
404078125,308104,570421,259,2376,4028
405076583,2768268,9087916,133029,24834,17870
405076666,1903797,6730984,112077,22178,502
405076958,2772207,8283765,89460,28091,29323
405078041,1406387,2692966,2805,13415,18193
405078208,1411775,3117359,3375,19149,16307
405078375,1412406,2646470,2459,14752,13194
406076708,2772613,8824536,96539,27635,25891
406076833,246812,679328,1602,2372,4774
406076916,245760,848952,12225,2198,35
406077916,2062992,5318516,22901,42019,468
406078000,2064211,5226079,23845,44342,352
406078083,2063944,5268198,24416,43939,409
407076625,370855,865290,405,2980,5095
407076708,378102,837250,342,2913,4851
407076875,444201,1277426,2016,4354,9647
407077000,386144,1388404,21702,4391,90
407077666,355081,641705,287,2700,4426
407077750,303714,747330,1024,6668,75
407077791,192313,397917,247,1880,3022
408076708,708508,2425133,33310,6372,158
408076875,706473,1839817,1029,7293,12739
408077333,581783,1680083,2224,6114,12905
408078291,788578,1805998,2336,13022,6321
408078333,2065106,4744161,21775,33520,8199
408081500,3806,3895,0,0,0
409076541,1617070,5977905,104131,14839,381
409076666,1622809,4117398,2382,16646,28510
409076708,2604564,7886244,77542,25246,29848
409076833,1799172,6028279,99304,18378,402
409077750,140327,281503,155,1306,2023
409077958,2034089,5275457,23975,40153,400
409078250,2032515,4205688,20682,24460,10905
410076666,1544080,3842636,1962,14948,25515
410076791,1563523,4422376,13634,18387,29298
410076833,1436363,4136168,10407,15120,28711
410077791,1068049,2641987,3669,22459,187
410077833,1095919,2862072,3351,23501,198
