TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
376081250,1794168,5365387,3326,27331,8492
377081166,2110422,8668959,542,34363,7145
378080625,2182887,9171424,350,33608,7025
379081125,2185096,9309953,334,33437,6595
380080583,2182978,9252045,1424,35467,6838
381080666,2184055,8837931,223,34943,8218
382080708,2184212,8207948,385,11621,14594
383081541,2185297,8486843,2892,15761,7763
385081000,1754415,5247867,11852,12643,10785
386080875,2387923,8967800,15572,17076,18222
387080791,35272,62378,96,350,194
389080708,1671948,9709929,11122,11409,906
390081333,2389462,13257463,12356,21115,1996
391081125,2387672,14198471,13140,20418,562
392080791,137213,242787,9008,2410,46
392081125,28913,84414,7,25,32
392081250,16339,20298,33,117,30
392081541,321203,581900,35086,11420,386
393080833,239134,814223,961,2745,665
393081000,549751,1434364,36503,13738,470
394080666,113120,195530,0,0,0
394080791,1568033,5201268,54499,24665,4699
395080833,253746,755026,1211,2376,746
395080875,129280,190505,28785,9763,12
395081041,308606,262689,0,0,0
395082041,85949,222970,228,1093,188
395082208,84778,152694,1950,1171,277
396080916,588774,1880837,7539,17235,1633
396081625,437711,1492294,2253,4226,1414
396081875,601791,1642419,50041,14010,718
396081916,598983,1939721,1860,5983,1724
396082458,469584,1168847,1729,5263,879
396082625,489655,1224789,1304,5432,1315
396082708,468378,1043804,1385,6264,918
397081083,632047,1422427,36353,14071,487
397081291,592886,1675363,54182,15712,928
397081416,74828,235397,712,1171,219
397081500,581241,1785377,18824,3881,1784
398081041,381321,1253918,1729,3872,1376
398081375,59642,174647,551,1213,131
398082041,29764,72247,9,32,13
398082083,28204,28331,128,359,90
399080833,102181,289441,828,1184,456
399080958,22891,59801,212,581,15
399081125,280596,752627,36118,12636,335
399081375,108852,139614,0,0,0
400080833,657431,2081812,18261,5269,1447
400080916,72808,240605,684,1072,167
400081083,82442,110622,0,0,0
400081250,74980,165115,38,80,19
400081791,218582,562167,498,2242,599
400081875,73218,98800,312,906,136
401080791,211129,688399,1057,2295,675
401080916,97300,290673,639,1366,237
401081000,228876,697386,10342,2600,439
401081333,328001,1063355,1385,3357,1143
402081125,73203,98027,0,0,0
402081375,1455186,4438268,55491,21930,3736
402082000,47350,62894,372,665,78
402082083,77042,217012,831,1007,134
402082208,59487,82600,134,630,37
402083416,2703,3954,0,0,0
403080916,993325,3220079,21816,8301,2747
403081208,120646,148662,0,0,0
403081375,1300057,4265254,57710,22475,3878
403081625,118523,391390,970,1369,297
403082250,75393,106850,360,1008,100
404080666,3317,7277,0,0,0
404080791,428583,908404,35977,10748,288
404080958,363043,1169607,1080,2820,1089
404081125,5839,6269,0,0,0
404081833,289098,561565,16574,2027,282
404081916,300855,713815,981,3491,652
404081958,299553,766170,669,2899,855
405080750,100917,214139,23339,8036,21
405080791,223147,728294,909,2332,720
405080916,185136,624454,1275,2431,538
406080625,458766,1481233,1740,4990,1128
406080791,400293,1236355,6790,8549,1362
406081083,460171,1180117,36533,14279,542
406081250,410102,926952,35966,13299,376
406082083,335421,837861,932,3340,849
406082166,352947,691065,17143,3005,451
407080833,191931,604628,911,1981,522
407080958,197886,625175,1507,2347,701
407081250,79632,229724,1405,1518,100
407081416,198280,659131,891,2017,471
408081000,62266,176902,573,954,249
408081416,198584,613771,1151,2288,557
408081500,367331,1185747,1437,3591,1130
408081541,116556,364229,877,1423,386
409080833,167399,532127,892,1930,427
409080958,35151,43179,5123,0,0
409081208,38742,43192,0,0,0
409085833,4025,3902,0,0,0
410080916,206416,288629,15631,5247,10
410081083,201768,598766,17335,2345,523
410081416,39669,113336,633,796,102
410082041,153324,311930,679,1902,292
410082083,217999,557264,399,2292,412
411080833,543676,1760528,2192,5827,1807
411081125,144622,454189,743,2038,426
411081250,340523,1163445,1959,3449,966
411081500,708674,1657879,53121,13408,784
412080833,137570,442684,1940,3564,496
412081916,164699,338812,623,1886,399
412082000,13334,9753,0,0,0
412082041,19129,18914,0,0,0
413081250,930669,2139246,53178,15242,973
414080750,678418,1613040,52858,16580,739
414081000,593231,1556472,53146,15102,828
414081125,1018866,3271441,6913,9241,2825
414081250,267270,822876,1199,2605,839
414081750,181140,469350,330,2212,396
414081916,178447,377697,931,2374,345
414082041,181074,485129,571,2016,344
415080750,180098,576246,920,2070,578
415080833,1249157,3767148,56326,22048,3183
415081000,1103597,3516977,19949,9846,2898
415081625,3476,5114,0,0,0
416080916,1099890,2889511,53544,18873,1883
416081041,43367,134059,378,453,154
416081208,845700,2570821,20081,6454,2408
416081625,42633,75934,371,724,104
416081666,74997,31525,0,0,0
417080625,20092,60935,76,252,105
417080666,26875,28091,0,0,0
417080750,22903,59042,478,694,112
417080833,93644,249127,47,85,18
417081500,27748,37757,139,334,9
417081541,57742,115593,331,1049,142
417081666,69322,62873,281,836,214
418080583,411295,1341994,1451,3943,1212
418080750,662913,1785716,53621,15613,874
418081041,652469,2153387,2809,6212,2371
418081166,557241,1767214,18479,4762,1140
419081291,186977,574416,837,2097,548
419081333,7930,9252,0,0,0
419081375,1536,3926,0,0,0
419082291,13859,13680,28,139,1
420080791,1604220,4839241,55369,23922,3970
420080916,169879,327737,34951,11139,42
420081041,484102,1479645,19171,4637,925
421080708,850749,2312183,53272,15088,1166
421080791,109907,103104,0,0,0
421080875,771427,2305816,18672,6499,1871
421080916,842804,2762947,2508,7335,2670
421081458,576466,1358013,17263,4510,982
421081583,570397,1553563,989,5163,1755
421081791,569433,1531412,773,5856,1339
422080791,605543,2024772,2955,5422,2401
422080916,35652,33825,0,0,0
422081250,33787,38786,0,0,0
422081416,1030819,3337684,8096,9611,2994
422081791,16669,26621,27,145,6
423080833,176197,568779,1316,2102,557
423080958,176313,337169,35130,11357,44
423081333,70137,206564,623,1026,264
423081416,726909,2358760,2576,7172,2568
423082000,369567,953613,762,3639,905
423082041,132591,309038,650,1737,389
423082208,114152,273827,404,1457,286
424080625,444922,971927,36300,12121,284
424080666,441121,1468918,1758,4526,1305
424080708,110489,175179,0,0,0
425080750,709230,2349891,3560,6312,2497
425080791,474680,1499846,1606,4446,1691
425080958,488799,1262363,36399,13366,585
425081125,718176,1729522,52873,17012,628
425081708,478061,1180414,1516,5617,1201
425081833,475403,1207313,934,4560,1246
425081958,476884,1004250,17330,3939,786
426080708,73235,210737,632,1081,255
426080833,117941,142910,0,0,0
426081083,137723,165371,0,0,0
427080833,188361,600553,1723,2195,296
427081500,66649,150525,205,968,135
427081541,63864,86384,491,848,77
427081583,65737,139168,288,967,134
