TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
374081583,306918,818822,106,772,715
375081375,1956024,6554782,1675,31815,8959
376081083,2116063,8741729,550,33187,6911
377081083,2183977,9198439,317,31916,6998
378081083,2184157,9306651,276,32735,6813
379081041,2183891,9215053,1425,34521,6812
380080958,2184014,8759823,284,32958,8971
381081125,2184156,8036730,315,6167,15538
382081166,2184327,7559271,3955,21418,7028
384081375,1934511,5871038,12809,14625,11854
385081250,2387847,8849030,17121,19062,18796
386081125,173686,402484,1455,2222,1327
389081166,1753711,9425942,16849,11487,6598
390081250,2388207,12210746,16900,23929,9102
393081375,1864058,5103748,10199,12242,35045
394081000,34453,90648,181,658,422
394081125,1292512,3105639,5730,6626,14758
394081166,113856,322717,918,1224,2005
394081500,120753,183207,0,0,0
395081291,149393,431054,1194,1721,2495
395081375,59778,149821,317,965,857
395081625,156578,233692,0,0,0
395082125,45778,82077,59,584,349
395082166,46745,76765,79,468,470
395082250,8703,12215,0,0,0
396081083,1590235,4455699,9912,12839,27116
396081166,480746,1273133,2747,4375,9077
396081333,555642,1234552,4551,5280,9171
396081666,556423,884401,395,642,1527
396082250,672116,1304847,1542,5653,9493
396082333,434897,887113,1065,3742,5223
396082416,399016,774723,817,3177,5157
396082500,460573,874836,810,3778,5635
397081333,2592741,7397648,16298,20854,45873
397081500,2592498,8158869,19545,28030,47084
397081625,2592003,7387226,15344,18303,48008
397081916,2594000,7026902,14129,20821,48384
397082416,2063888,4254425,4855,17485,28998
397082666,133956,237384,201,1274,1414
397082791,2065128,4149414,4371,16574,28378
397082916,2064807,4193841,4563,16770,27859
398081083,2590559,7235410,16808,16457,48621
398081583,2591114,7066607,16166,20116,48288
398081750,2593026,7482565,17623,20150,44667
398081875,2592997,7619182,49183,19939,44359
398082625,2063683,4103330,4730,16817,28027
398082708,2064678,4202448,4561,16900,28789
398082833,2064304,4362422,4971,17461,26731
398083000,2063817,4355670,4676,16407,27189
399081083,2590773,7294609,14937,18698,47355
399081583,2591548,8815646,20430,38073,43074
399081708,2591580,8590658,18741,22684,42439
399081875,2594025,7529472,17358,21156,46551
399082375,54931,95584,95,824,635
399082541,2063492,4279549,5140,17251,28147
399082875,216978,425973,479,1758,2544
400081000,1028679,2717654,6048,8359,18950
400081208,2590347,7964918,51498,26874,47673
400081541,2593214,8950888,20722,34176,44975
400081666,2592038,8147498,17879,25689,46153
400082208,2062621,4360805,4570,17039,26659
400082375,796445,1497351,1113,8158,7136
