zipf_param,distinct,distinct_perc,num_ones,num_ones_perc,num_twos,num_twos_perc,num_threes,num_threes_perc,num_others,num_others_perc
0_125,20303222,0.1586,14901543,0.1164,6835116,0.0534,4330187,0.0338,101933154,0.7964
0_25,4156937,0.0325,27852360,0.2176,11705440,0.0914,7054361,0.0551,81387839,0.6358
0_375,1100408,0.0086,39143766,0.3058,15089484,0.1179,8639728,0.0675,65127022,0.5088
0_5,358256,0.0028,48989760,0.3827,17317030,0.1353,9432857,0.0737,52260353,0.4083
0_625,138192,0.0011,57640163,0.4503,18685827,0.146,9670821,0.0756,42003189,0.3281
0_75,60267,0.0005,65234014,0.5096,19392518,0.1515,9542274,0.0745,33831194,0.2643
0_875,29361,0.0002,71915829,0.5618,19605241,0.1532,9163454,0.0716,27315476,0.2134
1,15652,0.0001,77823610,0.608,19452105,0.152,8644131,0.0675,22080154,0.1725
1_125,8939,0.0001,83030748,0.6487,19040256,0.1488,8038716,0.0628,17890280,0.1398
1_25,5474,0.0,87660458,0.6848,18430506,0.144,7400951,0.0578,14508085,0.1133
1_375,3466,0.0,91760504,0.7169,17692887,0.1382,6753878,0.0528,11792731,0.0921
1_5,2280,0.0,95419307,0.7455,16869752,0.1318,6121364,0.0478,9589577,0.0749
1_625,1633,0.0,98668912,0.7709,15987951,0.1249,5520827,0.0431,7822310,0.0611
1_75,1142,0.0,101569697,0.7935,15100298,0.118,4950825,0.0387,6379180,0.0498
1_875,849,0.0,104161935,0.8138,14201285,0.1109,4428124,0.0346,5208656,0.0407
2,620,0.0,106485576,0.8319,13312965,0.104,3944472,0.0308,4256987,0.0333
2_125,487,0.0,108571946,0.8482,12440243,0.0972,3499229,0.0273,3488582,0.0273
2_25,369,0.0,110427467,0.8627,11602771,0.0906,3108309,0.0243,2861453,0.0224
2_375,318,0.0,112104011,0.8758,10800128,0.0844,2748576,0.0215,2347285,0.0183
2_5,247,0.0,113609333,0.8876,10036182,0.0784,2427073,0.019,1927412,0.0151
2_625,221,0.0,114954423,0.8981,9318130,0.0728,2143524,0.0167,1583923,0.0124
2_75,170,0.0,116172946,0.9076,8634961,0.0675,1888286,0.0148,1303807,0.0102
2_875,155,0.0,117276474,0.9162,7989377,0.0624,1661136,0.013,1073013,0.0084
3,123,0.0,118263323,0.9239,7391100,0.0577,1459670,0.0114,885907,0.0069
