approach,sorted,length,mean,median,std
1,0,8,2.8859,2.8852,0.159
1,1,8,3.3252,3.3737,0.223
1,0,16,4.2954,4.1863,0.2185
1,1,16,3.5118,3.5017,0.0658
1,0,32,10.2237,10.1658,0.2392
1,1,32,8.7544,8.7666,0.0615
1,0,64,10.4236,10.4508,0.4625
1,1,64,8.2526,8.2973,0.3307
1,0,128,16.6901,17.1026,1.2311
1,1,128,14.7555,14.9833,0.5014
2,0,8,2.9901,2.9262,0.1254
2,1,8,3.1746,3.1834,0.0831
2,0,16,4.3715,4.3573,0.1093
2,1,16,3.79,3.8333,0.0973
2,0,32,10.1181,10.1003,0.0949
2,1,32,8.7064,8.7956,0.2837
2,0,64,10.2324,10.2866,0.5454
2,1,64,9.0259,9.1767,0.3732
2,0,128,17.7613,17.6081,0.8312
2,1,128,15.1081,15.1438,0.516
3,0,8,0.5746,0.5727,0.0114
3,1,8,0.3974,0.3975,0.0023
3,0,16,4.4335,4.4338,0.0258
3,1,16,0.5736,0.5735,0.0015
3,0,32,59.4967,59.0832,1.2099
3,1,32,2.3167,2.3172,0.012
3,0,64,84.7459,83.2693,3.7026
3,1,64,2.8463,2.843,0.0405
3,1,128,3.7505,3.7418,0.0407
