approach,distribution,num_threads,mean,median,std
1,dense,1,1.3898,1.3928,0.0057
1,sparse,1,2.0666,2.0636,0.0078
1,dense,2,0.9474,0.9486,0.0026
1,sparse,2,1.3109,1.3121,0.0021
1,dense,3,0.7336,0.734,0.0028
1,sparse,3,0.9728,0.9709,0.0077
1,dense,4,0.5875,0.5857,0.0056
1,sparse,4,0.761,0.7618,0.0081
1,dense,5,0.5982,0.6081,0.0163
1,sparse,5,0.7549,0.7485,0.0297
1,dense,6,0.5559,0.551,0.0108
1,sparse,6,0.7197,0.7131,0.021
1,dense,7,0.5427,0.5438,0.0053
1,sparse,7,0.7117,0.7033,0.0157
1,dense,8,0.5168,0.5172,0.0047
1,sparse,8,0.6848,0.6808,0.0194
2,dense,1,1.3808,1.383,0.0039
2,sparse,1,2.0735,2.0687,0.0097
2,dense,2,0.9422,0.9475,0.008
2,sparse,2,1.3242,1.3245,0.0025
2,dense,3,0.7355,0.734,0.006
2,sparse,3,0.9896,0.989,0.0035
2,dense,4,0.5846,0.5826,0.006
2,sparse,4,0.7586,0.7581,0.0036
2,dense,5,0.5825,0.5772,0.011
2,sparse,5,0.7592,0.7405,0.0328
2,dense,6,0.5531,0.5538,0.0059
2,sparse,6,0.7202,0.7145,0.0141
2,dense,7,0.5467,0.5422,0.0158
2,sparse,7,0.7036,0.7061,0.0103
2,dense,8,0.5219,0.5244,0.0075
2,sparse,8,0.6861,0.6827,0.0186
3,dense,1,1.4103,1.405,0.0102
3,sparse,1,2.0741,2.072,0.0088
3,dense,2,0.9414,0.942,0.0087
3,sparse,2,1.3204,1.3248,0.0088
3,dense,3,0.733,0.7305,0.0039
3,sparse,3,0.9781,0.9768,0.0051
3,dense,4,0.5787,0.5786,0.0013
3,sparse,4,0.7733,0.7737,0.0039
3,dense,5,0.5785,0.5781,0.0116
3,sparse,5,0.7541,0.7463,0.0124
3,dense,6,0.5533,0.5534,0.0139
3,sparse,6,0.7236,0.7217,0.0081
3,dense,7,0.542,0.5486,0.0097
3,sparse,7,0.7389,0.726,0.0368
3,dense,8,0.5306,0.5302,0.0086
3,sparse,8,0.6984,0.6924,0.0142
